n,micros,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_ut,my_ut,mz_ut
1.0,3251820998.0,-0.02869,-0.45312,-0.88464,-0.1221,-0.1221,-0.3052,31.0,7.0,-6.0
2.0,3251836032.0,-0.02856,-0.45251,-0.88391,-0.1221,-0.061,-0.2441,31.0,7.0,-6.0
3.0,3251851041.0,-0.02844,-0.45239,-0.88403,-0.061,0.0,-0.2441,31.0,7.0,-6.0
4.0,3251866903.0,-0.02832,-0.45239,-0.8833,-0.061,-0.061,-0.2441,31.0,7.0,-6.0
5.0,3251878925.0,-0.02893,-0.45312,-0.88403,-0.061,-0.061,-0.2441,31.0,7.0,-6.0
6.0,3251891903.0,-0.0293,-0.45361,-0.8844,0.0,-0.061,-0.2441,31.0,7.0,-6.0
7.0,3251907895.0,-0.0282,-0.45251,-0.88293,0.0,-0.061,-0.2441,31.0,7.0,-6.0
8.0,3251923812.0,-0.0271,-0.45239,-0.88293,-0.1221,0.0,-0.2441,31.0,7.0,-6.0
9.0,3251940809.0,-0.02783,-0.45215,-0.88318,-0.1221,0.0,-0.2441,31.0,10.0,-4.0
10.0,3251956028.0,-0.02844,-0.45312,-0.88391,-0.1221,-0.061,-0.3052,31.0,10.0,-4.0
11.0,3251971043.0,-0.02856,-0.45337,-0.88354,-0.061,-0.061,-0.3052,31.0,10.0,-4.0
12.0,3251986904.0,-0.02783,-0.45264,-0.8844,0.0,-0.061,-0.2441,31.0,10.0,-4.0
13.0,3251999816.0,-0.02722,-0.45276,-0.88379,-0.061,-0.061,-0.2441,31.0,10.0,-4.0
14.0,3252015951.0,-0.02734,-0.453,-0.88318,-0.1221,-0.061,-0.3052,31.0,10.0,-4.0
15.0,3252032041.0,-0.02734,-0.45203,-0.88391,-0.1221,0.0,-0.3052,31.0,10.0,-4.0
16.0,3252046897.0,-0.0282,-0.45227,-0.88391,-0.1221,-0.061,-0.2441,31.0,10.0,-4.0
17.0,3252064714.0,-0.02795,-0.453,-0.88379,-0.1221,0.0,-0.2441,31.0,10.0,-4.0
18.0,3252079043.0,-0.02881,-0.45251,-0.88379,-0.061,0.0,-0.2441,31.0,10.0,-4.0
19.0,3252095035.0,-0.02881,-0.45251,-0.88403,-0.061,-0.061,-0.1831,31.0,10.0,-4.0
20.0,3252108859.0,-0.02881,-0.45276,-0.88354,-0.1221,0.0,-0.2441,31.0,10.0,-4.0
21.0,3252120964.0,-0.0282,-0.45312,-0.88403,-0.1221,0.0,-0.2441,31.0,10.0,-4.0
22.0,3252134957.0,-0.02771,-0.45288,-0.88379,-0.061,0.061,-0.2441,31.0,10.0,-4.0
23.0,3252148860.0,-0.02869,-0.45276,-0.88342,-0.061,0.061,-0.2441,31.0,10.0,-4.0
24.0,3252163817.0,-0.02869,-0.45227,-0.88306,0.0,0.0,-0.1831,31.0,10.0,-4.0
25.0,3252177513.0,-0.02832,-0.4519,-0.88269,-0.061,-0.061,-0.2441,32.0,10.0,-11.0
26.0,3252192555.0,-0.02893,-0.45361,-0.88538,-0.061,0.0,-0.2441,32.0,10.0,-11.0
27.0,3252208547.0,-0.0282,-0.453,-0.88403,-0.1221,0.0,-0.2441,32.0,10.0,-11.0
28.0,3252223540.0,-0.02795,-0.453,-0.8833,-0.1221,0.0,-0.2441,32.0,10.0,-11.0
29.0,3252234781.0,-0.02795,-0.45264,-0.88318,-0.1221,0.0,-0.2441,32.0,10.0,-11.0
30.0,3252249818.0,-0.0282,-0.45251,-0.88428,-0.061,0.0,-0.3052,32.0,10.0,-11.0
31.0,3252264770.0,-0.0282,-0.453,-0.88477,-0.061,0.0,-0.3052,32.0,10.0,-11.0
32.0,3252277703.0,-0.02905,-0.45251,-0.88464,-0.061,-0.061,-0.3052,32.0,10.0,-11.0
33.0,3252292490.0,-0.02881,-0.45264,-0.8844,-0.1221,-0.1221,-0.2441,32.0,9.0,-11.0
34.0,3252308531.0,-0.02747,-0.45227,-0.88257,-0.061,-0.061,-0.1831,32.0,9.0,-11.0
35.0,3252322930.0,-0.02783,-0.45227,-0.88379,-0.1221,-0.061,-0.2441,32.0,9.0,-11.0
36.0,3252337047.0,-0.0293,-0.45288,-0.88525,-0.1221,-0.061,-0.3052,32.0,9.0,-11.0
37.0,3252349860.0,-0.02979,-0.45239,-0.8844,-0.1221,-0.061,-0.2441,32.0,9.0,-11.0
38.0,3252365899.0,-0.02893,-0.45166,-0.88379,-0.1221,-0.061,-0.2441,32.0,9.0,-11.0
39.0,3252382044.0,-0.02844,-0.45312,-0.88379,-0.1221,-0.061,-0.3052,32.0,9.0,-11.0
40.0,3252397861.0,-0.02832,-0.45325,-0.8833,-0.061,0.0,-0.2441,32.0,9.0,-11.0
41.0,3252412538.0,-0.02832,-0.45276,-0.88269,-0.061,-0.061,-0.2441,31.0,10.0,-14.0
42.0,3252427516.0,-0.02856,-0.45312,-0.88403,-0.061,-0.1221,-0.2441,31.0,10.0,-14.0
43.0,3252442300.0,-0.02869,-0.45288,-0.88452,-0.061,-0.061,-0.2441,31.0,10.0,-14.0
44.0,3252458039.0,-0.02881,-0.45251,-0.8844,-0.1221,0.0,-0.2441,31.0,10.0,-14.0
45.0,3252472863.0,-0.02893,-0.45264,-0.88452,-0.1831,0.0,-0.2441,31.0,10.0,-14.0
46.0,3252485772.0,-0.02893,-0.45288,-0.88464,-0.1221,-0.061,-0.3052,31.0,10.0,-14.0
47.0,3252502045.0,-0.02856,-0.45288,-0.88257,-0.061,-0.061,-0.2441,31.0,10.0,-14.0
48.0,3252517905.0,-0.02783,-0.453,-0.88306,-0.061,-0.061,-0.2441,31.0,10.0,-14.0
49.0,3252530716.0,-0.02771,-0.45312,-0.88538,-0.061,0.0,-0.1831,31.0,9.0,-10.0
50.0,3252545714.0,-0.02795,-0.45337,-0.88562,-0.061,-0.061,-0.2441,31.0,9.0,-10.0
51.0,3252560027.0,-0.02881,-0.45312,-0.8844,-0.061,-0.061,-0.1831,31.0,9.0,-10.0
52.0,3252576910.0,-0.02893,-0.45276,-0.88342,-0.1221,-0.061,-0.2441,31.0,9.0,-10.0
53.0,3252592864.0,-0.02905,-0.45276,-0.88354,-0.1221,-0.061,-0.3052,31.0,9.0,-10.0
54.0,3252608800.0,-0.02844,-0.45349,-0.8833,-0.1221,-0.061,-0.2441,31.0,9.0,-10.0
55.0,3252620934.0,-0.02783,-0.45398,-0.88403,-0.1221,-0.061,-0.1831,31.0,9.0,-10.0
56.0,3252633957.0,-0.02783,-0.45447,-0.8844,-0.061,0.0,-0.2441,31.0,9.0,-10.0
57.0,3252649628.0,-0.02832,-0.45422,-0.88403,-0.061,0.0,-0.2441,34.0,9.0,-10.0
58.0,3252665937.0,-0.02832,-0.453,-0.88367,-0.1221,-0.061,-0.2441,34.0,9.0,-10.0
59.0,3252681844.0,-0.02856,-0.453,-0.88477,-0.061,0.0,-0.3052,34.0,9.0,-10.0
60.0,3252696773.0,-0.0282,-0.45276,-0.88562,-0.061,-0.061,-0.3052,34.0,9.0,-10.0
61.0,3252712036.0,-0.02808,-0.45288,-0.8844,-0.1221,0.0,-0.3052,34.0,9.0,-10.0
62.0,3252724959.0,-0.02795,-0.45276,-0.88428,-0.1831,0.061,-0.3052,34.0,9.0,-10.0
63.0,3252736935.0,-0.0282,-0.453,-0.88452,-0.1221,0.0,-0.2441,34.0,9.0,-10.0
64.0,3252752042.0,-0.02881,-0.45239,-0.8844,-0.061,0.0,-0.2441,34.0,9.0,-10.0
65.0,3252769722.0,-0.02832,-0.45239,-0.88464,-0.1221,-0.061,-0.2441,31.0,10.0,-12.0
66.0,3252784821.0,-0.02771,-0.45215,-0.88452,-0.061,0.0,-0.2441,31.0,10.0,-12.0
67.0,3252798844.0,-0.02893,-0.45239,-0.88379,-0.061,0.0,-0.2441,31.0,10.0,-12.0
68.0,3252813017.0,-0.02905,-0.45276,-0.88354,-0.061,0.0,-0.3052,31.0,10.0,-12.0
69.0,3252828030.0,-0.02795,-0.45337,-0.88342,-0.061,-0.061,-0.2441,31.0,10.0,-12.0
70.0,3252844051.0,-0.02808,-0.45349,-0.88342,-0.1221,0.0,-0.2441,31.0,10.0,-12.0
71.0,3252858960.0,-0.02917,-0.453,-0.88464,-0.1831,0.0,-0.2441,31.0,10.0,-12.0
72.0,3252870936.0,-0.0293,-0.45276,-0.88403,-0.1221,0.0,-0.2441,31.0,10.0,-12.0
73.0,3252886630.0,-0.02856,-0.45288,-0.88342,-0.061,0.0,-0.2441,31.0,9.0,-12.0
74.0,3252899551.0,-0.02771,-0.453,-0.88379,-0.061,-0.061,-0.2441,31.0,9.0,-12.0
75.0,3252914533.0,-0.0282,-0.45349,-0.88367,-0.1221,-0.061,-0.1831,31.0,9.0,-12.0
76.0,3252927512.0,-0.02832,-0.45312,-0.88391,-0.061,-0.061,-0.2441,31.0,9.0,-12.0
77.0,3252942297.0,-0.02881,-0.45312,-0.8833,-0.061,-0.061,-0.3052,31.0,9.0,-12.0
78.0,3252954038.0,-0.02893,-0.45325,-0.88391,-0.061,-0.061,-0.2441,31.0,9.0,-12.0
79.0,3252965938.0,-0.02893,-0.45288,-0.88489,-0.061,0.0,-0.2441,31.0,9.0,-12.0
80.0,3252976940.0,-0.02881,-0.45239,-0.88293,-0.061,-0.061,-0.2441,31.0,9.0,-12.0
81.0,3252992716.0,-0.02844,-0.45251,-0.88293,-0.061,-0.061,-0.2441,31.0,8.0,-10.0
82.0,3253005756.0,-0.02771,-0.45349,-0.88379,-0.1221,0.0,-0.2441,31.0,8.0,-10.0
83.0,3253018643.0,-0.02783,-0.45398,-0.8844,-0.1221,0.0,-0.2441,31.0,8.0,-10.0
84.0,3253034309.0,-0.02881,-0.45337,-0.88306,-0.1221,0.0,-0.2441,31.0,8.0,-10.0
85.0,3253046046.0,-0.02832,-0.453,-0.88306,-0.1221,0.0,-0.2441,31.0,8.0,-10.0
86.0,3253058869.0,-0.02759,-0.45288,-0.88379,-0.061,-0.061,-0.3052,31.0,8.0,-10.0
87.0,3253072807.0,-0.02759,-0.45398,-0.88562,-0.1221,0.0,-0.3052,31.0,8.0,-10.0
88.0,3253087940.0,-0.02747,-0.45349,-0.88501,-0.1221,0.0,-0.2441,31.0,8.0,-10.0
89.0,3253102632.0,-0.02783,-0.4519,-0.88306,-0.1221,0.0,-0.2441,31.0,10.0,-7.0
90.0,3253118321.0,-0.02856,-0.45239,-0.88477,-0.061,0.061,-0.1831,31.0,10.0,-7.0
91.0,3253130028.0,-0.02869,-0.45325,-0.88501,-0.061,0.061,-0.2441,31.0,10.0,-7.0
92.0,3253145046.0,-0.02808,-0.45264,-0.88379,-0.061,0.0,-0.2441,31.0,10.0,-7.0
93.0,3253157912.0,-0.02747,-0.45227,-0.88293,-0.1221,0.0,-0.3052,31.0,10.0,-7.0
94.0,3253171780.0,-0.02832,-0.45288,-0.88232,-0.1221,0.0,-0.2441,31.0,10.0,-7.0
95.0,3253184706.0,-0.02844,-0.45276,-0.88281,-0.1221,-0.061,-0.2441,31.0,10.0,-7.0
96.0,3253197706.0,-0.02881,-0.45251,-0.8833,-0.1221,-0.061,-0.2441,31.0,10.0,-7.0
97.0,3253214501.0,-0.02832,-0.45349,-0.88501,-0.1221,0.0,-0.3052,35.0,9.0,-8.0
98.0,3253227962.0,-0.02759,-0.45325,-0.88489,-0.061,0.0,-0.2441,35.0,9.0,-8.0
99.0,3253242851.0,-0.02747,-0.453,-0.88416,-0.1221,0.0,-0.1831,35.0,9.0,-8.0
100.0,3253258787.0,-0.02844,-0.45312,-0.88477,-0.061,0.0,-0.2441,35.0,9.0,-8.0
101.0,3253272760.0,-0.02783,-0.45361,-0.88391,-0.061,-0.061,-0.2441,35.0,9.0,-8.0
102.0,3253288787.0,-0.02759,-0.45361,-0.8833,-0.061,-0.061,-0.2441,35.0,9.0,-8.0
103.0,3253298914.0,-0.02808,-0.45251,-0.88391,-0.1221,0.0,-0.2441,35.0,9.0,-8.0
